frame,num_points,centroid_x,centroid_y,centroid_z,axis1,axis2,axis3,obb_dx,obb_dy,obb_dz,obb_volume
frame_0149_overlay_go1_uncertainty_clean.ply,78,8.759188,-0.8867241,-1.1613458,0.40698332,0.19168061,0.14917457,0.69187164,0.32585704,0.25359678,0.0571737103164196
frame_0150_overlay_go1_uncertainty_clean.ply,85,8.802979,-0.37960488,-1.2092439,3.0388901,1.7986612,0.27933556,5.1661134,3.0577242,0.47487047,7.501315116882324
frame_0151_overlay_go1_uncertainty_clean.ply,93,8.72906,-0.926806,-1.1331074,0.3403055,0.18887128,0.12649566,0.5785194,0.3210812,0.21504262,0.03994453325867653
frame_0152_overlay_go1_uncertainty_clean.ply,79,8.702188,-0.96101767,-1.1243112,0.31478226,0.18449466,0.12277853,0.53512985,0.31364092,0.2087235,0.03503186255693436
frame_0153_overlay_go1_uncertainty_clean.ply,42,8.681606,-0.9929361,-1.1229064,0.22403447,0.2045695,0.09371044,0.38085863,0.34776816,0.15930775,0.021100392565131187
frame_0155_overlay_go1_uncertainty_clean.ply,92,8.715537,-0.9646633,-1.1198808,0.29966688,0.19031067,0.11814571,0.5094337,0.32352814,0.20084772,0.033102940768003464
frame_0156_overlay_go1_uncertainty_clean.ply,70,8.5907,-0.95026964,-1.1120661,0.30731165,0.19749592,0.07217573,0.5224298,0.33574307,0.12269874,0.02152162790298462
frame_0157_overlay_go1_uncertainty_clean.ply,101,8.640793,-0.37990302,-1.2220577,3.1501276,1.5451324,0.27421597,5.355217,2.6267252,0.46616715,6.5574259757995605
frame_0159_overlay_go1_uncertainty_clean.ply,35,8.779068,-0.73549813,-1.1553388,0.24543016,0.162111,0.11118031,0.4172313,0.27558872,0.18900654,0.021732771769165993
frame_0163_overlay_go1_uncertainty_clean.ply,85,8.618511,-0.1860049,-1.2245882,3.0348785,1.753636,0.33339018,5.1592937,2.9811814,0.56676334,8.717267990112305
frame_0165_overlay_go1_uncertainty_clean.ply,126,8.701057,-0.41290525,-1.230409,2.3776355,1.7067518,0.31060636,4.0419803,2.9014783,0.5280308,6.192596435546875
frame_0166_overlay_go1_uncertainty_clean.ply,122,8.582647,-0.50673544,-1.2095536,2.9387045,1.5041571,0.28462356,4.9957976,2.5570672,0.48386008,6.181114196777344
frame_0172_overlay_go1_uncertainty_clean.ply,41,8.671711,-0.6546461,-1.1899251,0.21360414,0.18591242,0.14121754,0.36312705,0.31605113,0.24006984,0.027552027255296707
frame_0173_overlay_go1_uncertainty_clean.ply,31,8.629284,-0.66977584,-1.1917953,0.2272716,0.14039768,0.11627476,0.38636175,0.23867607,0.19766709,0.01822793111205101
frame_0174_overlay_go1_uncertainty_clean.ply,114,8.487921,-0.4130769,-1.2125975,2.8368638,1.5095776,0.2984427,4.8226686,2.566282,0.5073526,6.2791619300842285
frame_0175_overlay_go1_uncertainty_clean.ply,68,8.705611,-0.8392781,-1.1742563,0.4068118,0.18648681,0.15966153,0.69158006,0.3170276,0.27142462,0.05950983986258507
frame_0178_overlay_go1_uncertainty_clean.ply,37,8.55766,-0.8232587,-1.1821502,0.20953012,0.18780929,0.12934583,0.3562012,0.3192758,0.21988793,0.025007067248225212
frame_0179_overlay_go1_uncertainty_clean.ply,35,8.547971,-0.8212222,-1.1631671,0.21583462,0.16650376,0.122520246,0.36691886,0.2830564,0.20828442,0.021632155403494835
frame_0180_overlay_go1_uncertainty_clean.ply,38,8.533704,-0.8336048,-1.1301886,0.22972673,0.17409179,0.099086076,0.39053544,0.29595605,0.16844633,0.0194692499935627
frame_0181_overlay_go1_uncertainty_clean.ply,33,8.491014,-0.8351019,-1.1584753,0.21869093,0.13877939,0.07760295,0.37177458,0.23592496,0.13192502,0.011571262031793594
frame_0182_overlay_go1_uncertainty_clean.ply,45,8.499417,-0.8109036,-1.1622721,0.22179128,0.19132651,0.10558784,0.37704518,0.3252551,0.17949933,0.02201305702328682
